error report
==================================================

Total Top-1 Errors: 90857

1. Top-5 totally wrong class:
   Cerioporus squamosus -> Daedaleopsis confragosa: 151times
   Hypholoma fasciculare -> Hypholoma lateritium: 150times
   Hypholoma lateritium -> Hypholoma fasciculare: 149times
   Physcia adscendens -> Phaeophyscia orbicularis: 149times
   Lycoperdon perlatum -> Lycoperdon pyriforme: 148times
   Laetiporus sulphureus -> Cerioporus squamosus: 148times
   Evernia prunastri -> Hypogymnia physodes: 147times
   Leccinum versipelle -> Leccinum scabrum: 146times
   Amanita augusta -> Amanita flavoconia: 146times
   Ganoderma applanatum -> Daedaleopsis confragosa: 145times
   Xanthoria parietina -> Physcia adscendens: 144times
   Evernia mesomorpha -> Pseudevernia furfuracea: 137times
   Leccinum scabrum -> Tylopilus felleus: 137times
   Armillaria tabescens -> Armillaria mellea: 135times
   Bjerkandera adusta -> Trametes versicolor: 135times
   Trichaptum biforme -> Trametes hirsuta: 134times
   Coprinus comatus -> Chlorophyllum brunneum: 132times
   Pholiota aurivella -> Pholiota squarrosa: 132times
   Trametes versicolor -> Trametes ochracea: 132times
   Coprinellus disseminatus -> Coprinellus micaceus: 132times
   Pleurotus ostreatus -> Sarcomyxa serotina: 130times

3. Detail

   Agaricus augustus:
      misclassified as: Amanita amerirubescens: 32times
      misclassified as: Amanita rubescens: 32times
      misclassified as: Amanita persicina: 27times
      misclassified as: Verpa bohemica: 19times
      misclassified as: Tapinella atrotomentosa: 11times
      misclassified as: Chlorophyllum brunneum: 9times
      misclassified as: Amanita citrina: 9times
      misclassified as: Amanita pantherina: 9times
      misclassified as: Agaricus xanthodermus: 8times
      misclassified as: Chlorophyllum molybdites: 6times
      misclassified as: Paxillus involutus: 6times
      misclassified as: Coltricia perennis: 6times
      misclassified as: Amanita brunnescens: 6times
      misclassified as: Suillus granulatus: 6times
      misclassified as: Lactarius deliciosus: 5times
      misclassified as: Leucoagaricus leucothites: 4times
      misclassified as: Tricholoma murrillianum: 4times
      misclassified as: Cerioporus squamosus: 4times
      misclassified as: Amanita augusta: 4times
      misclassified as: Amanita calyptroderma: 3times
      misclassified as: Amanita flavoconia: 3times
      misclassified as: Leucoagaricus americanus: 3times
      misclassified as: Amanita phalloides: 3times
      misclassified as: Daedaleopsis confragosa: 3times
      misclassified as: Gloeophyllum sepiarium: 3times
      misclassified as: Macrolepiota procera: 3times
      misclassified as: Volvopluteus gloiocephalus: 3times
      misclassified as: Lepista nuda: 3times
      misclassified as: Sarcomyxa serotina: 3times
      misclassified as: Lactarius torminosus: 2times
      misclassified as: Phallus impudicus: 2times
      misclassified as: Amanita velosa: 2times
