epoch,batch,train_loss,val_top1,val_top5,val_balanced,val_f1,val_loss,learning_rate,temperature,grad_norm
10,140,0.691236,,,,,,9.99e-04,0.0050,0.0
10,160,0.627529,,,,,,9.99e-04,0.0050,0.0
10,180,0.662582,,,,,,9.99e-04,0.0050,0.0
10,200,0.667469,,,,,,9.99e-04,0.0050,0.0
10,220,0.697159,,,,,,9.99e-04,0.0050,0.0
10,240,0.685403,,,,,,9.99e-04,0.0050,0.0
10,260,0.697820,,,,,,9.99e-04,0.0050,0.0
10,280,0.634521,,,,,,9.99e-04,0.0050,0.0
10,300,0.619309,,,,,,9.99e-04,0.0050,0.0
10,320,0.582101,,,,,,9.98e-04,0.0050,0.0
10,340,0.642004,,,,,,9.98e-04,0.0050,0.0
10,360,0.637541,,,,,,9.98e-04,0.0050,0.0
10,380,0.629497,,,,,,9.98e-04,0.0050,0.0
10,-1,0.648086,0.817815,0.965676,0.801459,0.781087,0.954850,,,,
11,20,0.576454,,,,,,9.98e-04,0.0050,0.0
11,40,0.656766,,,,,,9.98e-04,0.0050,0.0
11,60,0.605168,,,,,,9.98e-04,0.0050,0.0
11,80,0.630788,,,,,,9.98e-04,0.0050,0.0
11,100,0.614508,,,,,,9.98e-04,0.0050,0.0
11,120,0.648864,,,,,,9.98e-04,0.0050,0.0
11,140,0.584270,,,,,,9.98e-04,0.0050,0.0
11,160,0.593296,,,,,,9.98e-04,0.0050,0.0
11,180,0.615704,,,,,,9.98e-04,0.0050,0.0
11,200,0.618430,,,,,,9.98e-04,0.0050,0.0
11,220,0.625211,,,,,,9.98e-04,0.0050,0.0
11,240,0.626776,,,,,,9.98e-04,0.0050,0.0
11,260,0.647486,,,,,,9.98e-04,0.0050,0.0
11,280,0.597725,,,,,,9.98e-04,0.0050,0.0
11,300,0.611167,,,,,,9.98e-04,0.0050,0.0
11,320,0.620727,,,,,,9.98e-04,0.0050,0.0
11,340,0.586249,,,,,,9.98e-04,0.0050,0.0
11,360,0.640056,,,,,,9.98e-04,0.0050,0.0
11,380,0.571781,,,,,,9.98e-04,0.0050,0.0
11,-1,0.624944,0.821785,0.966957,0.810340,0.786989,0.939823,,,,
12,20,0.593567,,,,,,9.98e-04,0.0050,0.0
12,40,0.641489,,,,,,9.98e-04,0.0050,0.0
12,60,0.577000,,,,,,9.98e-04,0.0050,0.0
12,80,0.636393,,,,,,9.98e-04,0.0050,0.0
12,100,0.604918,,,,,,9.97e-04,0.0050,0.0
12,120,0.576474,,,,,,9.97e-04,0.0050,0.0
12,140,0.606490,,,,,,9.97e-04,0.0050,0.0
12,160,0.617220,,,,,,9.97e-04,0.0050,0.0
12,180,0.599966,,,,,,9.97e-04,0.0050,0.0
12,200,0.605576,,,,,,9.97e-04,0.0050,0.0
12,220,0.583732,,,,,,9.97e-04,0.0050,0.0
12,240,0.639673,,,,,,9.97e-04,0.0050,0.0
12,260,0.630607,,,,,,9.97e-04,0.0050,0.0
12,280,0.630968,,,,,,9.97e-04,0.0050,0.0
12,300,0.585515,,,,,,9.97e-04,0.0050,0.0
12,320,0.597471,,,,,,9.97e-04,0.0050,0.0
12,340,0.620306,,,,,,9.97e-04,0.0050,0.0
12,360,0.546570,,,,,,9.97e-04,0.0050,0.0
